epoch;loss;mse;val_loss;val_mse
154;1.7895759185648785e-07;1.7895759185648785e-07;1.9976653220510343e-07;1.9976653220510343e-07
155;1.8043851923721377e-07;1.8043851923721377e-07;1.8499108023206645e-07;1.8499108023206645e-07
156;1.7957597719941987e-07;1.7957597719941987e-07;1.959816842145301e-07;1.959816842145301e-07
157;1.7933656693003286e-07;1.7933656693003286e-07;1.7913828287419165e-07;1.7913828287419165e-07
158;1.7940740804078814e-07;1.7940740804078814e-07;1.92891604910983e-07;1.92891604910983e-07
159;1.8018263858721184e-07;1.8018263858721184e-07;1.854128157674495e-07;1.854128157674495e-07
160;1.8040222471427114e-07;1.8040222471427114e-07;1.770209223650454e-07;1.770209223650454e-07
161;1.7837173515999893e-07;1.7837173515999893e-07;1.7769684745871928e-07;1.7769684745871928e-07
162;1.783500209739941e-07;1.783500209739941e-07;1.7981619748752564e-07;1.7981619748752564e-07
163;1.781866245664787e-07;1.781866245664787e-07;1.7867455426312517e-07;1.7867455426312517e-07
164;1.788901329291548e-07;1.788901329291548e-07;1.8208905316896562e-07;1.8208905316896562e-07
165;1.8024293524376844e-07;1.8024293524376844e-07;1.8289208014721225e-07;1.8289208014721225e-07
166;1.7785542638648622e-07;1.7785542638648622e-07;1.9326341771375155e-07;1.9326341771375155e-07
167;1.796204998072426e-07;1.796204998072426e-07;1.818748671666981e-07;1.818748671666981e-07
168;1.778706462118862e-07;1.778706462118862e-07;1.8724196593211673e-07;1.8724196593211673e-07
169;1.7695823828489665e-07;1.7695823828489665e-07;1.8359899911501998e-07;1.8359899911501998e-07
170;1.7861313494904607e-07;1.7861313494904607e-07;1.899235968494395e-07;1.899235968494395e-07
171;1.8003503043928504e-07;1.8003503043928504e-07;1.8478775132280134e-07;1.8478775132280134e-07
172;1.791033810150111e-07;1.791033810150111e-07;1.817587786945296e-07;1.817587786945296e-07
173;1.8015354896760982e-07;1.8015354896760982e-07;1.9035465470551571e-07;1.9035465470551571e-07
174;1.7829145804171276e-07;1.7829145804171276e-07;1.7935373364252882e-07;1.7935373364252882e-07
175;1.7947240849025548e-07;1.7947240849025548e-07;1.7973047761188354e-07;1.7973047761188354e-07
176;1.7788839556942548e-07;1.7788839556942548e-07;1.7891035497541452e-07;1.7891035497541452e-07
177;1.7685184161564393e-07;1.7685184161564393e-07;1.7931598961240525e-07;1.7931598961240525e-07
178;1.7972419641409942e-07;1.7972419641409942e-07;1.839245982182547e-07;1.839245982182547e-07
179;1.7803543528316368e-07;1.7803543528316368e-07;2.0005690259949915e-07;2.0005690259949915e-07
180;1.790767356624201e-07;1.790767356624201e-07;1.8399973100713396e-07;1.8399973100713396e-07
181;1.7844963906554767e-07;1.7844963906554767e-07;1.8180529082201247e-07;1.8180529082201247e-07
182;1.7592873291505384e-07;1.7592873291505384e-07;1.8529304668390978e-07;1.8529304668390978e-07
183;1.7893148651637603e-07;1.7893148651637603e-07;1.8360606190981343e-07;1.8360606190981343e-07
184;1.7808467589475185e-07;1.7808467589475185e-07;1.7878241465041356e-07;1.7878241465041356e-07
185;1.77956181346417e-07;1.77956181346417e-07;1.8373621912814997e-07;1.8373621912814997e-07
186;1.776545133225227e-07;1.776545133225227e-07;1.7874241109439026e-07;1.7874241109439026e-07
187;1.7746516789429734e-07;1.7746516789429734e-07;1.7828814691256412e-07;1.7828814691256412e-07
188;1.7872747548608459e-07;1.7872747548608459e-07;1.7994504730722838e-07;1.7994504730722838e-07
189;1.7825685461048124e-07;1.7825685461048124e-07;1.8836982462744345e-07;1.8836982462744345e-07
190;1.7892541848141263e-07;1.7892541848141263e-07;1.7941731300652464e-07;1.7941731300652464e-07
191;1.7904648075273144e-07;1.7904648075273144e-07;1.7599101909127057e-07;1.7599101909127057e-07
192;1.765286441468561e-07;1.765286441468561e-07;1.8283550673459104e-07;1.8283550673459104e-07
193;1.779340408347707e-07;1.779340408347707e-07;1.776449778390088e-07;1.776449778390088e-07
194;1.7755922954165726e-07;1.7755922954165726e-07;1.88391751976269e-07;1.88391751976269e-07
195;1.7797987084122724e-07;1.7797987084122724e-07;1.806930072234536e-07;1.806930072234536e-07
196;1.7850746303338383e-07;1.7850746303338383e-07;1.8329863848975947e-07;1.8329863848975947e-07
197;1.7815031583268137e-07;1.7815031583268137e-07;1.813265129158026e-07;1.813265129158026e-07
198;1.7785156103400368e-07;1.7785156103400368e-07;1.8662125000901142e-07;1.8662125000901142e-07
199;1.7785519901281077e-07;1.7785519901281077e-07;1.7996678991494264e-07;1.7996678991494264e-07
200;1.7673063723577798e-07;1.7673063723577798e-07;1.7876415370210452e-07;1.7876415370210452e-07
201;1.7697917087389214e-07;1.7697917087389214e-07;1.8628485065619316e-07;1.8628485065619316e-07
202;1.7856561385087844e-07;1.7856561385087844e-07;1.8202842966275057e-07;1.8202842966275057e-07
203;1.7646262051584927e-07;1.7646262051584927e-07;1.825523270326812e-07;1.825523270326812e-07
204;1.773522200210209e-07;1.773522200210209e-07;1.7778901906240208e-07;1.7778901906240208e-07
205;1.784316339126235e-07;1.784316339126235e-07;1.8227270004445018e-07;1.8227270004445018e-07
